year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note	
Z19	PORS	SPRING	180619	2	3	1	1B	B944	F	OP	36	FJELLROTTE	N	YOY	
Z19	PORS	SPRING	180619	2	5	1	3C	B8FD	M	S	33	ROEDMUS			
Z19	PORS	SPRING	180619	2	5	1	3D	BB28	M	S	24	ROEDMUS	N		
Z19	PORS	FALL	100919	1	5	1	1A	FA9A8	F	NP	16	ROEDMUS	N		
Z19	PORS	FALL	100919	1	5	1	1A	FAA97	M	A	15	ROEDMUS	N		
Z19	PORS	FALL	100919	1	5	1	2D	FA9F9	F	NP	15	MARKMUS	N		
Z19	PORS	FALL	100919	1	5	1	3B	UNMFB	M	A	15	ROEDMUS	N	DEAD	
Z19	PORS	FALL	100919	1	5	1	4C	FA880	F	L,P	42	MARKMUS	N		
Z19	PORS	FALL	100919	1	5	1	4D	FB8FC	M	A	15	ROEDMUS	N		
Z19	PORS	FALL	100919	1	5	1	1C	FAB91	M	A	14	ROEDMUS	N		
Z19	PORS	FALL	100919	1	3	1	4C	FA978	M	A	16	ROEDMUS	N		
Z19	PORS	FALL	100919	1	3	1	3C	FA924	F	NP	20	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	3	1	2C	FA90A	F	PL	30	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	3	1	2D	FBA7B	F	L	55	MARKMUS	N		
Z19	PORS	FALL	100919	1	3	1	1B	FA896	F	NP	20	MARKMUS	N		
Z19	PORS	FALL	100919	1	3	1	1A	FA9E3	M	A	25	MARKMUS	N		
Z19	PORS	FALL	100919	1	3	2	3C	FBB73	F	NP	27	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	1	3D	FB895	F	PL	41	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	1	3C	FB7CB	F	PL	41	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	1	3B	FAA20	M	A	27	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	1	3B	5F944	M	A	26	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	1	2C	FB907	M	A/S	38	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	1	2D	FBB04	F	NP	18	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	1	2D	FA9F6	M	A	21	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	1	2D	FA8F6	F	NP	22	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	1	1B	FA94B	F	NP	21	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	1	1A	47A47	F	NP	26	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	2	3C	FAADB	M	S	41	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	2	3D	5F5CA	M	A	25	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	2	4C	FAA80	M	A	25	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	2	4D	FBA32	F	PL	38	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	2	1C	5F5D0	M	A/S	41	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	2	2	1D	FAB05	F	NP	25	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	2	2	1D	FAAED	F	PL	42	GRAASIDEMUS	REC		
Z19	PORS	FALL	100919	1	1	2	3D	FA8F0	F	NP	25	MARKMUS	N		
Z19	PORS	FALL	100919	1	1	2	4D	FAC4B	M	A	25	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	2	1C	FA957	M	A/S	26	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	2	1D	FABFC	F	NP	25	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	2	1D	FA982	M	A	13	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	3	3B	FA99D	M	A	18	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	3	3A	FA90E	F	PL	30	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	3	3C	FBC0C	M	S	27	ROEDMUS	REC		
Z19	PORS	FALL	100919	1	1	3	3D	FA9EB	M	A	17	GRAASIDEMUS	N		
Z19	PORS	FALL	100919	1	1	3	4A	FABD6	F	L	42	FJELLROTTE	N		
Z19	PORS	FALL	100919	1	1	3	1D	FA9FE	F	NP	21	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	2	3D	FAAAA	F	PL	33	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	2	3D	FAC4B	M	A	23	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	2	4C	FBB5A	F	NP	16	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	2	4D	FA98C	M	A	27	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	2	4A	642AF	M	A/S	36	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	2	4A	5F924	M	A	27	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	2	1C	FA957	M	A	25	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	2	1D	FABFC	F	PL	28	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	2	1D	FB9BA	M	A	15	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	2	1D	FA982	M	A	16	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	1	2	1D	FB8C4	F	NP	15	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	3	3B	UNMFD	F	L	32	MARKMUS	N		
Z19	PORS	FALL	110919	2	1	3	3A	FAAB4	F	NP	22	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	3	3C	FAC20	M	A	27	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	3	3D	FB8AF	M	A	19	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	1	3	4C	FBC0C	M	A/S	26	ROEDMUS			
Z19	PORS	FALL	110919	2	1	3	1C	FAA11	M	A	22	FJELLROTTE	N		
Z19	PORS	FALL	110919	2	1	3	1D	B5DD	M	A	20	ROEDMUS	N		
Z19	PORS	FALL	110919	2	2	1	3D	FB895	F	PL	39	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	3B	FB7CB	F	PL	38	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	3A	FAA20	M	A	28	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	2C	5F944	M	A	25	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	2B	FB867	M	A	27	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	1	2D	FA8F6	F	NP	23	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	1B	FBB04	F	NP	21	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	1A	FB8A7	M	A/S	40	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	1	1A	FA9C9	F	NP	21	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	2	3C	FBA32	F	L/PL	37	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	2	3D	FAADA	F	NP	27	GRAASIDEMUS	N		
Z19	PORS	FALL	110919	2	2	2	4B	FAA80	M	A	23	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	2	4D	5F5D0	M	S	41	GRAASIDEMUS			
Z19	PORS	FALL	110919	2	2	2	1D	FAC19	M	S	43	GRAASIDEMUS	N		
