year	area	seas	datetime	check	transect	station	trapnum	Nindnum	sex	status	weight	species	marked	note
Z19	PORSANGER	SPRING	170619	1	MASOY	G2	3B	B5C9	F	L	49	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G2	2A	B79E	F	L	43	GRAASIDEMUS	REC	
Z19	PORSANGER	SPRING	170619	1	MASOY	G5	3B	B6F5	M	S	44	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G5	2C	B808	M	S	28	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G6	1B	B825	M	S	40	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G6	1A	B4E2	F	P	33	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G6	1A	B5B8	M	S	29	ROEDMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G8	3D	B8C8	M	S	47	GRAASIDEMUS	REC	
Z19	PORSANGER	SPRING	170619	1	MASOY	G8	1A	B486	F	L	44	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G11	2B	B680	F	NP	32	FJELLROTTE	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G11	3A	B77F	F	L	45	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G11	3C	B62D	M	S	46	GRAASIDEMUS	REC	
Z19	PORSANGER	SPRING	170619	1	MASOY	G11	4C	B5C7	F	L	45	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G15	4A	B741	F	L	37	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G15	1C	B742	M	S	40	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G15	1D	B649	M	S	48	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G16	3B	DEA3	M	S	43	GRAASIDEMUS	REC	
Z19	PORSANGER	SPRING	170619	1	MASOY	G16	3D	B448	M	S	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G16	2A	B5C3	M	S	42	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G16	1A	B388	M	S	53	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G19	4D	B5FE	F	P	45	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G20	4B	B776	F	L	42	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	170619	1	MASOY	G20	1D	UNMSA	F	L	35	GRAASIDEMUS	N	DEAD,CROW
Z19	PORSANGER	SPRING	170619	1	MASOY	G20	1D	UNMSB	M	S	45	GRAASIDEMUS	N	DEAD, CROW
Z19	PORSANGER	SPRING	180619	2	MASOY	G20	4B	B776	F	L	40	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G20	4C	B68C	F	P	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G20	4A	B6F0	M	S	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G19	4C	B70A	M	S	37	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	2B	B448	M	S	42	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	2A	B5C3	M	S	41	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	1B	DEA3	M	S	48	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G16	2D	B7A0	F	P	48	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	3C	B58F	F	P	52	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	4C	B7B2	F	L	41	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	4D	B741	F	L	32	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	4A	B742	M	S	46	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G15	1C	BAD5	M	S	56	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G11	3B	B7ED	M	S	28	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G11	3C	B62D	M	S	42	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G11	4A	B79D	M	S	40	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G8	3C	UNMSC	F	PERF	24	ROEDMUS	N	DEAD
Z19	PORSANGER	SPRING	180619	2	MASOY	G8	1C	B486	F	L	36	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G8	1D	B4B7	F	L	42	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G6	1A	BFE2	F	PERF	30	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G5	2C	B808	M	S	29	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G5	2A	B645	F	L	42	MARKMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G4	1D	BC70	M	S	26	ROEDMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G2	3B	B8A0	F	L	45	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G2	3A	B5C9	F	L	40	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G2	2D	B79E	F	L	38	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	4D	B597	F	P	43	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	1C	B48D	F	L	40	GRAASIDEMUS		
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	1D	B7BA	M	S	43	GRAASIDEMUS	N	
Z19	PORSANGER	SPRING	180619	2	MASOY	G1	1A	BAA1	M	S	32	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	4C	EB21	M	A	24	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	4D	E2E9	M	A	27	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	4D	41NA	M	A	32	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	4A	EDAE	F	NP	25	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	4A	F4EE	M	A	29	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G1	1C	FAB3	M	A	29	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	2C	3DF1	F	P	36	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	2B	FE2A	F	MP	24	GRAASIDEMUS	N	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	2D	AC3D	M	A	30	GRAASIDEMUS	REC	
Z19	PORSANGER	FALL	100919	1	MASOY	G2	1A	E405	M	A	32	GRAASIDEMUS	N	
