year	area	seas	datetime	check	transect	station	trapnum	indnum_old	Nindnum	sex	status	weight	species	marked	note
Z18	PORS	AUTUMN	120918	2	2	2	2B	NA	0007DFB5C8	F	NP	20	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	2A	NA	0007DFCD66	F	L	32	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	2A	NA	0007DFB576	M	A	14	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	2A	NA	0007DFAAB2	M	A	23	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	2D	NA	0007DFB6AF	M	A	16	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	2D	NA	0007DFB51B	M	A	28	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	2	2	2D	NA	0007DFB6EE	F	NP	20	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	1B	NA	0007DFDB66	M	S	33	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	2	2	1B	NA	0007DFB4BB	M	A	18	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	3	2	3B	NA	0007DFB556	M	A	19	ROEDMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	3B	NA	0007DFB640	F	NP	19	ROEDMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	2C	NA	0007DFB747	M	A	24	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	2B	NA	0007DFB73D	F	NP	23	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	2A	NA	0007DFB44F	M	S	30	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	2D	NA	0007DFB66C	M	A	19	ROEDMUS		
Z18	PORS	AUTUMN	120918	2	3	2	1B	NA	0007DFB55E	F	NP	22	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	1A	NA	0007DFB520	F	L	29	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	1A	NA	0007DFBEB9	F	L	35	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	3	2	1C	NA	0007DFB440	F	NP	22	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	1C	NA	0007DFB749	F	NP	20	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	1C	NA	0007DFB5AA	M	A	23	MARKMUS		
Z18	PORS	AUTUMN	120918	2	3	2	1D	NA	0007DFB43D	F	NP	22	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	3	2	4D	NA	0007DFB9A1	F	NP	24	MARKMUS	N	
Z18	PORS	AUTUMN	120918	2	5	2	4D	NA	0007DF05B9	M	S	30	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	2	4C	NA	0007DFAABB	F	L	30	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	2	3D	NA	0007DFB4D0	M	A	22	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	5	2	3A	NA	0007DFB10D	M	A	16	ROEDMUS	N	
Z18	PORS	AUTUMN	120918	2	5	2	2C	NA	0007DFB57B	M	A	25	GRAASIDEMUS	N	
Z18	PORS	AUTUMN	120918	2	5	2	2B	NA	0007DFB476	F	NP	24	GRAASIDEMUS		
Z18	PORS	AUTUMN	120918	2	5	2	2A	NA	0007DFB52A	M	A	23	GRAASIDEMUS		
