"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"164";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G20";"4B";"0007D60914";"M";"S";37;"GRAASIDEMUS";"N";NA
"165";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G19";"4B";"0007D60B2E";"M";"A/S";18;"GRAASIDEMUS";"N";NA
"166";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G16";"4B";"0007D60B39";"M";"S";46;"GRAASIDEMUS";"N";NA
"167";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G14";"4D";"0007D61048";"F";"OP";26;"GRAASIDEMUS";"N";NA
"168";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G13";"4A";"0007D604A1";"M";"S";23;"ROEDMUS";"N";NA
"169";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G12";"3C";"0007D60EEA";"M";"A";16;"GRAASIDEMUS";"R";NA
"170";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G12";"4C";"0007D6055A";"F";"P";45;"GRAASIDEMUS";"N";NA
"171";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G11";"3C";"0007D3A9E8";"F";"OP";22;"GRAASIDEMUS";"R";NA
"172";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G11";"4C";"0007D612E6";"M";"S";28;"GRAASIDEMUS";"R";NA
"173";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G11";"4B";"0007D60325";"M";"A";24;"GRAASIDEMUS";"R";NA
"174";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G11";"1A";"0007D60FE5";"M";"A";11;"GRAASIDEMUS";"N";NA
"175";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G10";"2D";"0007D60174";"M";"S";34;"GRAASIDEMUS";"N";NA
"176";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G8";"3C";"0007D6068C";"M";"A";20;"MARKMUS";"N";NA
"177";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G8";"1D";"0007D2C9AC";"F";"P";52;"GRAASIDEMUS";"R";NA
"178";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G7";"3B";"0007D2B691";"M";"S";28;"ROEDMUS";"N";NA
"179";2018;"PORSANGER";"SUMMER";170618;2;"MASOY";"G5";"2C";"0007D2CC81";"M";"S";26;"ROEDMUS";"N";NA
