"";"year";"area";"seas";"datetime";"check";"transect";"station";"trapnum";"indnum_old";"Nindnum";"sex";"status";"weight";"species";"marked";"note"
"104";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"3D";NA;"0007D607DA";"F";"C,L";"35";"GRAASIDEMUS";"R";""
"105";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"2D";NA;"UNM019";"M";"A";"<12";"GRAASIDEMUS";"N";""
"106";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"2A";NA;"0007D5FEF1";"F";"O,L";"47";"GRAASIDEMUS";"N";""
"107";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"1A";NA;"0007D60666";"M";"S";"31";"GRAASIDEMUS";"R";""
"108";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G02";"1A";NA;"0007D2DA8B";"M";"S";"21";"GRAASIDEMUS";"N";""
"109";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"3B";NA;"0007D5FFCE";"F";"O,L";"37";"GRAASIDEMUS";"N";""
"110";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"2D";NA;"0007D3C35F";"M";"S";"35";"GRAASIDEMUS";"N";""
"111";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"1B";NA;"0007DFA8C0";"M";"S";"30";"GRAASIDEMUS";"N";""
"112";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G01";"1A";NA;"0007D60397";"F";"O";"36";"GRAASIDEMUS";"R";""
"113";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G20";"1A";NA;"0007D3C69E";"M";"S";"38";"GRAASIDEMUS";"R";""
"114";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"4C";NA;"UNM020";"F";"NP";"11";"GRAASIDEMUS";"N";"NO PITTAG"
"115";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"4A";NA;"0007D3D9AA";"F";"C,L";"51";"GRAASIDEMUS";"R";""
"116";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"4A";NA;"UNM021";"F";"NP";"11";"GRAASIDEMUS";"N";"NO PITTAG"
"117";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"1C";NA;"UNM022";"F";"NP";"10";"GRAASIDEMUS";"N";"NO PITTAG"
"118";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"1C";NA;"UNM023";"F";"NP";"10";"GRAASIDEMUS";"N";"NO PITTAG"
"119";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G19";"1C";NA;"UNM024";"M";"A";"11";"GRAASIDEMUS";"N";"NO PITTAG"
"120";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G16";"1D";NA;"0007D30CDD";"M";"S";"42";"GRAASIDEMUS";"R";""
"121";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G16";"1A";NA;"0007D2B7E2";"M";"S";"30";"ROEDMUS";"R";""
"122";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"4D";NA;"0007D2CD93";"F";"O";"19";"GRAASIDEMUS";"N";""
"123";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"4B";NA;"0007D6075F";"M";"S";"21";"GRAASIDEMUS";"R";""
"124";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"4A";NA;"0007D3913A";"M";"A/S";"14";"ROEDMUS";"N";""
"125";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G15";"4A";NA;NA;NA;NA;NA;"GRAASIDEMUS";NA;"ESCAPED DURING HANDLING"
"126";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"3A";NA;"0007D60848";"M";"A";"19";"GRAASIDEMUS";"R";""
"127";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"2C";NA;"0007D30847";"M";"S";"49";"GRAASIDEMUS";"R";""
"128";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"2D";NA;"0007D2C800";"F";"O,L";"46";"GRAASIDEMUS";"R";""
"129";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G11";"1A";NA;"0007D32699";"M";"S";"24";"GRAASIDEMUS";"N";""
"130";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"3C";NA;"0007D60CD0";"M";"S";"33";"ROEDMUS";"N";""
"131";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"3D";NA;"0007D60145";"M";"A";"21";"FJELLROTTE";"N";""
"132";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"3D";NA;"0007D2D1BC";"F";"O";"36";"FJELLROTTE";"N";""
"133";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"4C";NA;"0007D2B863";"F";"C";"48";"FJELLROTTE";"N";""
"134";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"4D";NA;"UNM025";"M";"A";"<12";"GRAASIDEMUS";"N";"NO PITTAG"
"135";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G08";"4A";NA;"UNM026";"F";"NP";"<12";"GRAASIDEMUS";"N";"NO PITTAG"
"136";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"2B";NA;"0007D326CC";"F";"O";"21";"ROEDMUS";"R";""
"137";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"1D";NA;"UNM027";"M";"A";"<12";"GRAASIDEMUS";"N";"NO PITTAG"
"138";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"1D";NA;"UNM028";"M";"A";"<12";"GRAASIDEMUS";"N";"NO PITTAG"
"139";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"1D";NA;"UNM029";"M";"A";"<12";"GRAASIDEMUS";"N";"NO PITTAG"
"140";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"1D";NA;"UNM030";"F";"NP";"<12";"GRAASIDEMUS";"N";"NO PITTAG"
"141";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G06";"4B";NA;"0007D5FFDD";"M";"S";"29";"ROEDMUS";"N";""
"142";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"1C";NA;"0007D2E1AE";"M";"S";"31";"GRAASIDEMUS";"N";""
"143";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"4D";NA;"0007D39BD1";"F";"O,L";"36";"FJELLROTTE";"N";""
"144";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"4C";NA;"0007D6080F";"F";"O";"26";"FJELLROTTE";"N";""
"145";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"4C";NA;"0007D60725";"M";"A";"22";"FJELLROTTE";"N";""
"146";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"4B";NA;"0007D3A965";"M";"S";"27";"ROEDMUS";"R";""
"147";2018;"PORSANGER";"AUTUMN";30818;2;"MASOY";"G04";"4B";NA;"0007D612CD";"M";"S";"40";"FJELLROTTE";"R";""
