dato	periode	stasjon 	art	kode	kjønn	vekt	rep	merk	annet
12.10.2019	oct	4	f	67c	m	22	1	g	
13.10.2019	oct	3	f	67c	m	24	1		
12.10.2019	oct	44	f	6a0	f	22	1	n	
11.10.2019	oct	6	f	77c	f	37	1	g	
12.10.2019	oct	6	f	77c	f	35	1		
13.10.2019	oct	5	f	77c	f	34	1		
13.10.2019	oct	34	f	7a5	m	26	1	g	
12.10.2019	oct	34	f	7a7	m	25	1	g	
12.10.2019	oct	8	f	7ae	m	24	1	g	
11.10.2019	oct	9	f	7d0	m	25	1	g	
12.10.2019	oct	9	f	7d0	m	24	1		
13.10.2019	oct	8	f	7d0	m	24	1		
11.10.2019	oct	30	f	80b	f	24	1	g	
11.10.2019	oct	35	f	a32	m	22	1	n	
13.10.2019	oct	34	f	a32	m	23	1		
11.10.2019	oct	19	f	a50	m	22	1	n	
12.10.2019	oct	35	f	c21	f	22	1	n	
13.10.2019	oct	35	f	c21	f	22	1		
12.10.2019	oct	42	f	d88	m	24	1	n	
11.10.2019	oct	20	f	dbb	f	26	1	n	
11.10.2019	oct	11	f	fb1	m	22	1	n
